,ano_eleicao,nr_turno,nr_candidato,nm_urna_candidato,uf,votos,perc_votos
4783,2022,1,22,JAIR BOLSONARO,ZZ,122548,41.61
4784,2022,1,44,SORAYA THRONICKE,ZZ,753,0.26
4785,2022,1,80,LÉO PÉRICLES,ZZ,319,0.11
4786,2022,1,16,VERA,ZZ,464,0.16
4787,2022,1,15,SIMONE TEBET,ZZ,13167,4.47
4788,2022,1,21,SOFIA MANZANO,AC,144,0.03
4789,2022,1,27,CONSTITUINTE EYMAEL,AC,44,0.01
4790,2022,1,13,LULA,AC,129022,29.26
4791,2022,1,12,CIRO GOMES,AC,12314,2.79
4792,2022,1,14,ROBERTO JEFFERSON,AC,279,0.06
4793,2022,1,14,PADRE KELMON,AC,279,0.06
4794,2022,1,30,FELIPE D AVILA,AC,825,0.19
4795,2022,1,22,JAIR BOLSONARO,AC,275582,62.5
4796,2022,1,44,SORAYA THRONICKE,AC,2444,0.55
4797,2022,1,80,LÉO PÉRICLES,AC,64,0.01
4798,2022,1,16,VERA,AC,77,0.02
4799,2022,1,15,SIMONE TEBET,AC,20122,4.56
4800,2022,1,21,SOFIA MANZANO,AL,494,0.03
4801,2022,1,27,CONSTITUINTE EYMAEL,AL,139,0.01
4802,2022,1,13,LULA,AL,974156,56.5
4803,2022,1,12,CIRO GOMES,AL,43542,2.53
4804,2022,1,14,ROBERTO JEFFERSON,AL,3020,0.18
4805,2022,1,14,PADRE KELMON,AL,3020,0.18
4806,2022,1,30,FELIPE D AVILA,AL,2450,0.14
4807,2022,1,22,JAIR BOLSONARO,AL,621515,36.05
4808,2022,1,44,SORAYA THRONICKE,AL,10683,0.62
4809,2022,1,80,LÉO PÉRICLES,AL,482,0.03
4810,2022,1,16,VERA,AL,325,0.02
4811,2022,1,15,SIMONE TEBET,AL,67411,3.91
4812,2022,1,21,SOFIA MANZANO,AM,476,0.02
4813,2022,1,27,CONSTITUINTE EYMAEL,AM,267,0.01
4814,2022,1,13,LULA,AM,1019585,49.58
4815,2022,1,12,CIRO GOMES,AM,44525,2.17
4816,2022,1,14,ROBERTO JEFFERSON,AM,1373,0.07
4817,2022,1,14,PADRE KELMON,AM,1373,0.07
4818,2022,1,30,FELIPE D AVILA,AM,5212,0.25
4819,2022,1,22,JAIR BOLSONARO,AM,880087,42.8
4820,2022,1,44,SORAYA THRONICKE,AM,17000,0.83
4821,2022,1,80,LÉO PÉRICLES,AM,484,0.02
4822,2022,1,16,VERA,AM,393,0.02
4823,2022,1,15,SIMONE TEBET,AM,87057,4.23
4824,2022,1,21,SOFIA MANZANO,AP,130,0.03
4825,2022,1,27,CONSTITUINTE EYMAEL,AP,62,0.01
4826,2022,1,13,LULA,AP,197382,45.67
